created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-03-11 00:00:00 UTC,1.86,3.83,4.82,74.03,-60.11,75.42,24.80,3.33,
2019-03-12 00:00:00 UTC,0.65,1.34,1.73,131.27,-56.61,79.51,27.96,1.31,
2019-03-13 00:00:00 UTC,0.62,1.33,1.67,76.99,-57.44,71.96,23.90,1.32,
2019-03-14 00:00:00 UTC,0.49,1.06,1.33,58.02,-59.68,80.16,28.09,1.06,
2019-03-15 00:00:00 UTC,1.67,3.26,4.05,88.19,-59.03,80.64,30.37,2.84,
2019-03-16 00:00:00 UTC,0.79,1.23,1.47,73.56,-59.12,78.61,29.65,1.23,
2019-03-17 00:00:00 UTC,0.31,0.44,0.52,97.89,-61.21,79.59,28.04,0.44,
2019-03-18 00:00:00 UTC,2.81,5.48,6.87,87.84,-57.73,78.79,27.53,4.22,
2019-03-19 00:00:00 UTC,2.72,4.42,4.98,96.62,-58.28,79.42,30.10,4.23,
2019-03-20 00:00:00 UTC,1.09,1.73,1.90,98.51,-59.56,80.45,30.89,1.73,
2019-03-21 00:00:00 UTC,1.13,1.72,1.89,154.70,-60.62,79.88,32.36,1.72,
2019-03-22 00:00:00 UTC,7.50,12.35,14.19,55.25,-59.82,74.16,28.34,9.87,
2019-03-23 00:00:00 UTC,3.04,4.85,5.47,61.76,-59.40,58.79,20.42,4.75,
2019-03-24 00:00:00 UTC,2.28,3.39,3.76,63.27,-58.80,76.30,24.77,3.39,
2019-03-25 00:00:00 UTC,2.57,5.14,6.51,133.09,-60.29,79.68,25.32,4.43,
2019-03-26 00:00:00 UTC,1.39,2.23,2.52,47.67,-60.95,79.49,25.00,2.23,
2019-03-27 00:00:00 UTC,6.31,9.68,10.80,82.56,-58.84,65.55,20.76,9.16,
2019-03-28 00:00:00 UTC,5.36,7.40,7.82,89.87,-60.24,76.45,23.77,7.39,
2019-03-29 00:00:00 UTC,10.10,15.84,17.83,115.61,-61.45,75.02,23.35,13.86,
2019-03-30 00:00:00 UTC,11.46,17.58,19.46,178.42,-61.20,79.95,27.10,15.95,
2019-03-31 00:00:00 UTC,8.38,11.76,12.25,64.89,-63.29,79.41,27.65,11.76
2019-04-01 00:00:00 UTC,2.89,5.39,6.73,68.04,-63.11,79.27,26.13,4.40,
2019-04-01 00:00:00 UTC,2.89,5.39,6.73,68.04,-63.11,79.27,26.13,4.40
2019-04-02 00:00:00 UTC,2.45,3.93,4.46,74.23,-62.88,80.10,27.14,3.79,
2019-04-02 00:00:00 UTC,2.45,3.93,4.46,74.23,-62.88,80.10,27.14,3.79
2019-04-03 00:00:00 UTC,0.37,0.63,0.73,84.08,-62.36,78.15,25.35,0.63,
2019-04-03 00:00:00 UTC,0.37,0.63,0.73,84.08,-62.36,78.15,25.35,0.63
2019-04-04 00:00:00 UTC,1.33,2.41,2.86,86.08,-62.08,78.94,26.31,2.30,
2019-04-04 00:00:00 UTC,1.33,2.41,2.86,86.08,-62.08,78.94,26.31,2.30
2019-04-05 00:00:00 UTC,2.71,5.08,6.14,63.54,-63.02,68.88,23.74,4.23,
2019-04-05 00:00:00 UTC,2.71,5.08,6.14,63.54,-63.02,68.88,23.74,4.23
2019-04-06 00:00:00 UTC,8.45,13.97,15.97,87.74,-62.68,78.65,26.75,11.23,
2019-04-06 00:00:00 UTC,8.45,13.97,15.97,87.74,-62.68,78.65,26.75,11.23
2019-04-07 00:00:00 UTC,7.48,11.42,12.16,99.87,-62.93,77.53,28.75,11.34,
2019-04-07 00:00:00 UTC,7.48,11.42,12.16,99.87,-62.93,77.53,28.75,11.34
2019-04-08 00:00:00 UTC,14.26,22.69,24.88,106.00,-61.01,77.57,30.19,20.27,
2019-04-08 00:00:00 UTC,14.26,22.69,24.88,106.00,-61.01,77.57,30.19,20.27
2019-04-09 00:00:00 UTC,7.91,11.30,11.85,87.30,-61.42,78.76,30.02,11.11,
2019-04-09 00:00:00 UTC,7.91,11.30,11.85,87.30,-61.42,78.76,30.02,11.11
2019-04-10 00:00:00 UTC,4.60,7.99,9.48,116.08,-63.44,79.26,26.24,6.76,
2019-04-10 00:00:00 UTC,4.60,7.99,9.48,116.08,-63.44,79.26,26.24,6.76
2019-04-11 00:00:00 UTC,4.96,8.49,9.94,86.24,-63.81,78.58,24.40,7.37,
2019-04-11 00:00:00 UTC,4.96,8.49,9.94,86.24,-63.81,78.58,24.40,7.37
